index	name
27	part_mag_torgue_normal
28	part_mag_torgue_sticky
49	part_mag_torgue_sticky_murder
50	part_mag_torgue_normal_murder
71	part_mag_torgue_sticky_beegun
79	part_mag_torgue_normal_songbird
80	part_mag_torgue_sticky_fearstalker
81	part_mag_torgue_sticky_soulsurvivor
81	part_mag_torgue_normal_fearstalker
82	part_mag_torgue_normal_soulsurvivor
83	part_mag_torgue_sticky_sharkbait
84	part_mag_torgue_normal_inscriber
84	part_mag_torgue_normal_sharkbait
86	part_mag_torgue_normal_beegun
86	part_mag_05_borg_acc_manifest
88	part_mag_torgue_sticky_tkswave
89	part_mag_torgue_normal_tkswave
89	part_mag_torgue_sticky_mercury
90	part_mag_torgue_normal_mercury
99	part_mag_torgue_sticky_locust
100	part_mag_torgue_normal_locust
