index	name
0	MAL_SR.part_barrel_01
1	MAL_SR.part_barrel_01_a
2	MAL_SR.part_barrel_01_asher
3	MAL_SR.part_barrel_01_b
4	MAL_SR.part_barrel_01_c
5	MAL_SR.part_barrel_01_complex_root
6	MAL_SR.part_barrel_01_d
7	MAL_SR.part_barrel_02
8	MAL_SR.part_barrel_02_a
9	MAL_SR.part_barrel_02_b
10	MAL_SR.part_barrel_02_c
11	MAL_SR.part_barrel_02_conflux
12	MAL_SR.part_barrel_02_d
13	MAL_SR.part_barrel_02_katagawaN
14	MAL_SR.part_barrel_licensed_hyp
15	MAL_SR.part_barrel_licensed_jak
16	MAL_SR.part_barrel_licensed_ted
17	MAL_SR.part_barrel_licensed_ted_combo
18	MAL_SR.part_barrel_licensed_ted_mirv
19	MAL_SR.part_barrel_licensed_ted_shooting
20	MAL_SR.part_body
21	MAL_SR.part_body_a
22	MAL_SR.part_body_b
23	MAL_SR.part_body_cd
24	MAL_SR.part_body_d
25	MAL_SR.part_foregrip_01
26	MAL_SR.part_foregrip_02
27	MAL_SR.part_foregrip_03
28	MAL_SR.part_foregrip_04
29	MAL_SR.part_grip_01
30	MAL_SR.part_grip_02
31	MAL_SR.part_grip_03
32	MAL_SR.part_grip_04_hyp
33	MAL_SR.part_grip_05a_ted_legs
34	MAL_SR.part_grip_05b_ted_homing
35	MAL_SR.part_grip_05c_ted_jav
36	MAL_SR.part_mag_01
37	MAL_SR.part_mag_02
38	MAL_SR.part_mag_03_tor
39	MAL_SR.part_mag_04_covb
40	MAL_SR.part_mag_05_borg
41	MAL_SR.part_mag_05_borg_barrel_01
42	MAL_SR.part_mag_05_borg_barrel_02
43	MAL_SR.part_mag_ted_thrown_01
44	MAL_SR.part_mag_ted_thrown_02
45	MAL_SR.part_mag_ted_thrown_03_tor
46	MAL_SR.part_mag_ted_thrown_04_cov
47	MAL_SR.part_mag_ted_thrown_05_bor
48	MAL_SR.part_mag_torgue_normal
49	MAL_SR.part_mag_torgue_sticky
50	MAL_SR.part_scope_01_lens_01
51	MAL_SR.part_scope_01_lens_02
52	MAL_SR.part_scope_02_lens_01
53	MAL_SR.part_scope_02_lens_02p
54	MAL_SR.part_scope_acc_S01_L01_a
55	MAL_SR.part_scope_acc_S01_L01_b
56	MAL_SR.part_scope_acc_S01_L02_a
57	MAL_SR.part_scope_acc_S01_L02_b
58	MAL_SR.part_scope_acc_S02_L01_a
59	MAL_SR.part_scope_acc_S02_L01_b
60	MAL_SR.part_scope_acc_S02_L02_a
61	MAL_SR.part_scope_acc_S02_L02_b
62	MAL_SR.part_scope_ironsight
63	MAL_SR.part_secondary_ammo_ar
64	MAL_SR.part_secondary_ammo_ps
65	MAL_SR.part_secondary_ammo_sg
66	MAL_SR.part_secondary_ammo_smgH
67	MAL_SR.part_shield_ammo
68	MAL_SR.part_shield_ampB
69	MAL_SR.part_shield_default
70	MAL_SR.part_shield_ricochet
71	MAL_SR.part_underbarrel_01_singularity
72	MAL_SR.part_underbarrel_02_multitaser
73	MAL_SR.part_underbarrel_03_rocketpod
74	MAL_SR.part_underbarrel_04_atlasB
75	MAL_SR.part_underbarrel_04_atlas_ball
76	MAL_SR.part_underbarrel_05_ammoswitcher
