index	name
1	comp_05_legendary_kaleidosplode
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01_kickballer
8	part_barrel_01
9	part_barrel_02
10	part_shield_default
11	part_shield_ricochet
12	part_shield_ammo
13	part_shield_amp
14	part_mag_05_borg
15	part_mag_04_cov
16	part_mag_01
17	part_mag_02
18	part_mag_ted_thrown_01
19	part_mag_ted_thrown_02
20	part_mag_ted_thrown_03_tor
21	part_mag_ted_thrown_04_cov
22	part_mag_ted_thrown_05_bor
23	part_scope_ironsight
24	part_scope_01_lens_01
25	part_scope_01_lens_02
26	part_scope_02_lens_01
27	part_scope_02_lens_02
28	part_scope_acc_s01_l01_a
29	part_scope_acc_s01_l01_b
30	part_scope_acc_s02_l01_a
31	part_scope_acc_s02_l01_b
32	part_scope_acc_s01_l02_a
33	part_scope_acc_s01_l02_b
34	part_scope_acc_s02_l02_a
35	part_scope_acc_s02_l02_b
36	part_grip_05a_ted_legs
37	part_grip_05b_ted_homing
38	part_grip_05c_ted_jav
39	part_grip_04_hyp
40	part_grip_01
41	part_grip_02
42	part_grip_03
43	part_underbarrel_03_beam_tosser
44	part_underbarrel_02_energydisc
45	part_underbarrel_04_atlas_ball
46	part_underbarrel_05_ammoswitcher
47	part_foregrip_02
48	part_foregrip_03
49	part_underbarrel_01_blowback
50	part_underbarrel_04_atlas
51	part_foregrip_01
52	part_secondary_ammo_smg
53	part_secondary_ammo_ar
54	part_secondary_ammo_ps
55	part_secondary_ammo_sr
56	part_barrel_01_kaleidosplode
59	part_foregrip_04
63	part_barrel_01_a
64	part_barrel_01_b
65	part_barrel_01_c
66	part_barrel_01_d
67	part_barrel_02_a
68	part_barrel_02_b
69	part_barrel_02_c
70	part_barrel_02_d
71	part_barrel_licensed_jak
72	part_barrel_licensed_ted
73	part_barrel_licensed_ted_shooting
74	part_barrel_licensed_ted_mirv
75	part_barrel_licensed_ted_combo
76	part_barrel_licensed_hyp
77	part_mag_torgue_normal
78	part_mag_torgue_sticky
79	part_mag_03_tor
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
99	comp_05_legendary
100	comp_05_legendary_kickballer
