index	name
1	comp_05_legendary
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_03_tor
16	part_mag_04_cov
17	part_mag_05_borg
18	part_mag_torgue_normal
19	part_mag_torgue_sticky
20	part_barrel_01_complex_root
21	part_mag_ted_thrown_01
22	part_mag_ted_thrown_02
23	part_mag_ted_thrown_03_tor
24	part_mag_ted_thrown_04_cov
25	part_mag_ted_thrown_05_bor
26	part_scope_ironsight
27	part_scope_01_lens_01
28	part_scope_01_lens_02
29	part_scope_02_lens_01
30	part_scope_02_lens_02
31	part_scope_acc_s01_l01_a
32	part_scope_acc_s01_l01_b
33	part_scope_acc_s02_l01_a
34	part_scope_acc_s02_l01_b
35	part_scope_acc_s01_l02_a
36	part_scope_acc_s01_l02_b
37	part_scope_acc_s02_l02_a
38	part_scope_acc_s02_l02_b
39	part_grip_05c_ted_jav
40	part_grip_05b_ted_homing
41	part_grip_05a_ted_legs
42	part_grip_04_hyp
43	part_grip_01
44	part_grip_02
45	part_grip_03
46	part_underbarrel_05_ammoswitcher
47	part_underbarrel_04_atlas_ball
48	part_underbarrel_02_multitaser
49	part_underbarrel_01_singularity
50	part_foregrip_02
51	part_foregrip_03
52	part_foregrip_01
53	part_underbarrel_03_rocketpod
54	part_underbarrel_04_atlas
55	part_secondary_ammo_smg
56	part_secondary_ammo_sg
57	part_secondary_ammo_ar
58	part_secondary_ammo_ps
59	comp_05_legendary_complex_root
60	part_barrel_02_katagawa
61	comp_05_legendary_katagawa
62	part_foregrip_04
63	part_mag_05_borg_barrel_02
64	part_mag_05_borg_barrel_01
65	part_barrel_01_a
66	part_barrel_01_b
67	part_barrel_01_c
68	part_barrel_01_d
69	part_barrel_02_a
70	part_barrel_02_b
71	part_barrel_02_c
72	part_barrel_02_d
73	part_barrel_licensed_jak
74	part_barrel_licensed_ted
75	part_barrel_licensed_ted_shooting
76	part_barrel_licensed_ted_mirv
77	part_barrel_licensed_ted_combo
78	part_barrel_licensed_hyp
79	part_barrel_01_asher
80	comp_05_legendary_asher
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
