index	name
0	ORD_PS.part_barrel_01
1	ORD_PS.part_barrel_01_a
2	ORD_PS.part_barrel_01_b
3	ORD_PS.part_barrel_01_c
4	ORD_PS.part_barrel_01_d
5	ORD_PS.part_barrel_02
6	ORD_PS.part_barrel_02_Bully
7	ORD_PS.part_barrel_02_RocketReload
8	ORD_PS.part_barrel_02_Roulette
9	ORD_PS.part_barrel_02_a
10	ORD_PS.part_barrel_02_b
11	ORD_PS.part_barrel_02_c
12	ORD_PS.part_barrel_02_d
13	ORD_PS.part_barrel_NoisyCricket
14	ORD_PS.part_barrel_licensed_hyp
15	ORD_PS.part_barrel_licensed_jak
16	ORD_PS.part_barrel_licensed_ted
17	ORD_PS.part_barrel_licensed_ted_combo
18	ORD_PS.part_barrel_licensed_ted_mirv
19	ORD_PS.part_barrel_licensed_ted_shootingH
20	ORD_PS.part_body
21	ORD_PS.part_body_a
22	ORD_PS.part_body_b
23	ORD_PS.part_body_c
24	ORD_PS.part_body_d
25	ORD_PS.part_foregrip_01
26	ORD_PS.part_foregrip_02
27	ORD_PS.part_foregrip_03
28	ORD_PS.part_grip_01
29	ORD_PS.part_grip_02
30	ORD_PS.part_grip_03
31	ORD_PS.part_grip_04_hyp
32	ORD_PS.part_grip_05a_ted_legs
33	ORD_PS.part_grip_05b_ted_homing
34	ORD_PS.part_grip_05c_ted_jav
35	ORD_PS.part_mag_01
36	ORD_PS.part_mag_02
37	ORD_PS.part_mag_03_rocketreload
38	ORD_PS.part_mag_03_tor
39	ORD_PS.part_mag_04_cov
40	ORD_PS.part_mag_05_borg
41	ORD_PS.part_mag_NoisyCricket
42	ORD_PS.part_mag_ted_thrown_01
43	ORD_PS.part_mag_ted_thrown_02
44	ORD_PS.part_mag_ted_thrown_03_tor
45	ORD_PS.part_mag_ted_thrown_04_cov
46	ORD_PS.part_mag_ted_thrown_05_bor
47	ORD_PS.part_mag_torgue_normal
48	ORD_PS.part_mag_torgue_sticky
49	ORD_PS.part_scope_01_lens_01
50	ORD_PS.part_scope_01_lens_02
51	ORD_PS.part_scope_02_lens_01
52	ORD_PS.part_scope_02_lens_02N
53	ORD_PS.part_scope_acc_S01_L01_a
54	ORD_PS.part_scope_acc_S01_L01_b
55	ORD_PS.part_scope_acc_S01_L02_a
56	ORD_PS.part_scope_acc_S01_L02_b
57	ORD_PS.part_scope_acc_S02_L01_a
58	ORD_PS.part_scope_acc_S02_L01_b
59	ORD_PS.part_scope_acc_S02_L02_a
60	ORD_PS.part_scope_acc_S02_L02_b
61	ORD_PS.part_scope_ironsight
62	ORD_PS.part_secondary_ammo_ar
63	ORD_PS.part_secondary_ammo_sg
64	ORD_PS.part_secondary_ammo_sm
65	ORD_PS.part_secondary_ammo_sr
66	ORD_PS.part_shield_ammo
67	ORD_PS.part_shield_amp
68	ORD_PS.part_shield_default
69	ORD_PS.part_shield_ricochet
70	ORD_PS.part_underbarrel_01_energyburst
71	ORD_PS.part_underbarrel_02_gravitywell
72	ORD_PS.part_underbarrel_03_rockets
73	ORD_PS.part_underbarrel_04_atlas
74	ORD_PS.part_underbarrel_04_atlas_ball
75	ORD_PS.part_underbarrel_05_ammoswitcher
