index	name
1	part_scope_02_lens_02_gmr
2	part_barrel_02_gmr
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_04_cov
16	part_mag_05_borg
17	part_mag_ted_thrown_01
18	part_mag_ted_thrown_02
19	part_mag_ted_thrown_03_tor
20	part_mag_ted_thrown_04_cov
21	part_mag_ted_thrown_05_bor
22	part_scope_02_lens_02
23	part_scope_02_lens_01
24	part_scope_01_lens_02
25	part_scope_01_lens_01
26	part_scope_ironsight
27	part_scope_acc_s01_l01_a
28	part_scope_acc_s01_l01_b
29	part_scope_acc_s02_l01_a
30	part_scope_acc_s02_l01_b
31	part_scope_acc_s01_l02_a
32	part_scope_acc_s01_l02_b
33	part_scope_acc_s02_l02_a
34	part_scope_acc_s02_l02_b
35	part_grip_05a_ted_legs
36	part_grip_05c_ted_jav
37	part_grip_05b_ted_homing
38	part_grip_04_hyp
39	part_grip_01
40	part_grip_02
41	part_grip_03
42	part_underbarrel_01_seeker
43	part_underbarrel_03_killdrone
44	part_underbarrel_04_atlas_ball
45	part_underbarrel_04_atlas
46	part_foregrip_02
47	part_foregrip_03
48	part_secondary_ammo_sm
49	part_secondary_ammo_sg
50	part_secondary_ammo_ps
51	part_secondary_ammo_sr
52	part_barrel_01_a
53	part_barrel_01_b
54	part_barrel_01_c
55	part_barrel_01_d
56	part_barrel_02_a
57	part_barrel_02_b
58	part_barrel_02_c
59	part_barrel_02_d
60	part_barrel_licensed_jak
61	part_barrel_licensed_ted
62	part_barrel_licensed_ted_shooting
63	part_barrel_licensed_ted_mirv
64	part_barrel_licensed_ted_combo
65	part_barrel_licensed_hyp
66	part_mag_torgue_normal
67	part_mag_torgue_sticky
68	part_underbarrel_02_deathsphere
69	part_underbarrel_05_ammoswitcher
70	part_foregrip_01
71	part_mag_03_tor
72	part_barrel_02_goalkeeper
73	comp_05_legendary
74	part_body
75	comp_05_legendary_gmr
76	comp_05_legendary_goalkeeper
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
