index	name
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_04_cov
16	part_mag_05_borg
17	part_mag_ted_thrown_01
18	part_mag_ted_thrown_02
19	part_mag_ted_thrown_03_tor
20	part_mag_ted_thrown_04_cov
21	part_mag_ted_thrown_05_bor
22	part_scope_ironsight
23	part_scope_01_lens_01
24	part_scope_01_lens_02
25	part_scope_02_lens_01
26	part_scope_02_lens_02
27	part_scope_acc_s01_l01_a
28	part_scope_acc_s01_l01_b
29	part_scope_acc_s02_l01_a
30	part_scope_acc_s02_l01_b
31	part_scope_acc_s01_l02_a
32	part_scope_acc_s01_l02_b
33	part_scope_acc_s02_l02_a
34	part_scope_acc_s02_l02_b
35	part_grip_05c_ted_jav
36	part_grip_05b_ted_homing
37	part_grip_05a_ted_legs
38	part_grip_04_hyp
39	part_grip_01
40	part_grip_02
41	part_grip_03
42	part_underbarrel_05_ammoswitcher
43	part_underbarrel_03_rockets
44	part_underbarrel_01_energyburst
45	part_underbarrel_04_atlas
46	part_underbarrel_04_atlas_ball
47	part_foregrip_02
48	part_foregrip_03
49	part_secondary_ammo_sm
50	part_secondary_ammo_sg
51	part_secondary_ammo_ar
52	part_secondary_ammo_sr
54	part_barrel_01_a
55	part_barrel_01_b
56	part_barrel_01_c
57	part_barrel_01_d
58	part_barrel_02_a
59	part_barrel_02_b
60	part_barrel_02_c
61	part_barrel_02_d
62	part_barrel_licensed_jak
63	part_barrel_licensed_ted
64	part_barrel_licensed_ted_shooting
65	part_barrel_licensed_ted_mirv
66	part_barrel_licensed_ted_combo
67	part_barrel_licensed_hyp
68	part_foregrip_01
69	part_mag_torgue_normal
70	part_mag_torgue_sticky
71	part_mag_03_tor
72	part_underbarrel_02_gravitywell
73	comp_tkhuman_weapon
74	comp_zadra_weapon
77	comp_05_legendary
78	part_mag_noisycricket
79	part_barrel_noisycricket
80	comp_05_legendary_noisycricket
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
