index	name
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_barrel_01_a
10	part_barrel_01_c
11	part_barrel_01_d
12	part_barrel_02_a
13	part_barrel_02_b
14	part_barrel_02_c
15	part_barrel_02_d
16	part_barrel_licensed_jak
17	part_barrel_licensed_ted
18	part_barrel_licensed_ted_shooting
19	part_barrel_licensed_ted_mirv
20	part_barrel_licensed_ted_combo
21	part_barrel_licensed_hyp
22	part_barrel_01_b
23	part_shield_default
24	part_shield_ricochet
25	part_shield_ammo
26	part_shield_amp
27	part_mag_01
28	part_mag_02
29	part_mag_04_cov
30	part_mag_05_borg
31	part_mag_ted_thrown_01
32	part_mag_ted_thrown_02
33	part_mag_ted_thrown_03_tor
34	part_mag_ted_thrown_04_cov
35	part_mag_ted_thrown_05_bor
36	part_scope_ironsight
37	part_scope_01_lens_01
38	part_scope_01_lens_02
39	part_scope_02_lens_01
40	part_scope_02_lens_02
41	part_scope_acc_s01_l01_a
42	part_scope_acc_s01_l01_b
43	part_scope_acc_s02_l01_a
44	part_scope_acc_s02_l01_b
45	part_scope_acc_s01_l02_a
46	part_scope_acc_s01_l02_b
47	part_scope_acc_s02_l02_a
48	part_scope_acc_s02_l02_b
49	part_grip_05c_ted_jav
50	part_grip_05b_ted_homing
51	part_grip_05a_ted_legs
52	part_grip_04_hyp
53	part_grip_01
54	part_grip_02
55	part_grip_03
56	part_underbarrel_05_ammoswitcher
57	part_underbarrel_02_tether_snare
58	part_underbarrel_03_railgun
59	part_underbarrel_04_atlas
60	part_foregrip_02
61	part_foregrip_03
62	part_underbarrel_01_spear
63	part_underbarrel_04_atlas_ball
64	part_foregrip_01
65	part_secondary_ammo_sm
66	part_secondary_ammo_sg
67	part_secondary_ammo_ar
68	part_secondary_ammo_ps
69	part_mag_torgue_normal
70	part_mag_torgue_sticky
71	part_mag_03_tor
73	comp_05_legendary
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
