index	name
2	part_barrel_01_dxa
3	part_barrel_01_axd
4	part_barrel_02_dxc
5	part_barrel_02_cxd
6	part_barrel_02_dxa
7	part_barrel_02_axd
8	part_barrel_02_cxa
9	part_barrel_02_axc
10	comp_05_legendary
11	part_body
12	part_body_a
13	part_body_b
14	part_body_c
15	part_body_d
16	part_barrel_01
17	part_barrel_02
18	part_barrel_01_a
19	part_barrel_01_b
20	part_barrel_01_c
21	part_barrel_01_d
22	part_barrel_02_a
23	part_barrel_02_b
24	part_barrel_02_c
25	part_barrel_02_d
26	comp_01_common
27	comp_02_uncommon
28	comp_03_rare
29	comp_04_epic
