index	name
1	part_barrel_02_goremaster
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_04_cov
14	part_mag_03_tor
15	part_mag_01
16	part_mag_02
17	part_mag_goldengod
18	part_barrel_goldengod
19	comp_05_legendary_goldengod
20	comp_05_legendary_goremaster
22	part_mag_ted_thrown_01
23	part_mag_ted_thrown_02
24	part_mag_ted_thrown_03_tor
25	part_mag_ted_thrown_04_cov
26	part_scope_02_lens_02
27	part_scope_02_lens_01
28	part_scope_01_lens_02
29	part_scope_01_lens_01
30	part_scope_ironsight
31	part_scope_acc_s01_l01_a
32	part_scope_acc_s01_l01_b
33	part_scope_acc_s02_l01_a
34	part_scope_acc_s02_l01_b
35	part_scope_acc_s01_l02_a
36	part_scope_acc_s01_l02_b
37	part_scope_acc_s02_l02_a
38	part_scope_acc_s02_l02_b
39	part_grip_05c_ted_jav
40	part_grip_05a_ted_legs
41	part_grip_05b_ted_homing
42	part_grip_01
43	part_grip_02
44	part_grip_03
45	part_grip_04_hyp
46	part_underbarrel_04_atlas_ball
47	part_underbarrel_04_atlas
48	part_underbarrel_01_beam
49	part_underbarrel_02_gauss
50	part_foregrip_01
51	part_foregrip_03
52	part_underbarrel_05_ammoswitcher
53	part_underbarrel_06_malswitch
60	part_secondary_ammo_smg
61	part_secondary_ammo_ar
62	part_secondary_ammo_ps
63	part_secondary_ammo_sr
64	part_unique_barrel_02_convergence
66	part_barrel_01_a
67	part_barrel_01_b
68	part_barrel_01_c
69	part_barrel_01_d
70	part_barrel_02_a
71	part_barrel_02_b
72	part_barrel_02_c
73	part_barrel_02_d
74	part_barrel_licensed_jak
75	part_barrel_licensed_ted
76	part_barrel_licensed_ted_shooting
77	part_barrel_licensed_ted_mirv
78	part_barrel_licensed_ted_combo
79	part_barrel_licensed_hyp
80	part_underbarrel_03_discharge
81	part_foregrip_02
82	part_mag_torgue_normal
83	part_mag_torgue_sticky
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
99	comp_05_legendary
100	comp_05_legendary_convergence
