index	name
1	part_firmware_god_killer
2	part_firmware_reel_big_fist
3	part_firmware_lifeblood
4	part_firmware_airstrike
5	part_firmware_high_caliber
6	part_firmware_gadget_ahoy
7	part_firmware_baker
8	part_firmware_oscar_mike
9	part_firmware_rubberband_man
10	part_firmware_deadeye
11	part_firmware_action_fist
12	part_firmware_goojfc
13	part_firmware_atlas_ex
14	part_firmware_atlas_infinum
15	part_firmware_trickshot
16	part_firmware_jacked
17	part_firmware_get_throwin
18	part_firmware_heating_up
19	part_firmware_bullets_to_spare
20	part_firmware_daeddy_o
21	part_normal
22	part_corrosive
23	part_cryo
24	part_fire
25	part_radiation
26	part_shock
27	part_unv_utility_secondary
28	part_unv_utility_primary
29	part_unv_turtle_secondary
30	part_unv_turtle_primary
31	part_unv_sturdy_secondary
32	part_unv_sturdy_primary
33	part_unv_spike_secondary
34	part_unv_spike_primary
35	part_unv_resistant_secondary
36	part_unv_resistant_primary
37	part_unv_reflect_secondary
38	part_unv_reflect_primary
39	part_unv_power_booster_secondary
40	part_unv_power_booster_primary
41	part_unv_pinpoint_secondary
42	part_unv_pinpoint_primary
43	part_unv_overshield_booster_secondary
44	part_unv_overshield_booster_primary
45	part_unv_mag_refresh_booster_secondary
46	part_unv_mag_refresh_booster_primary
47	part_unv_health_booster_secondary
48	part_unv_health_booster_primary
49	part_unv_healthy_secondary
50	part_unv_healthy_primary
51	part_unv_evasive_secondary
52	part_unv_evasive_primary
53	part_unv_capacity_secondary
54	part_unv_capacity_primary
55	part_unv_adaptive_secondary
56	part_unv_adaptive_primary
57	part_unv_absorb_secondary
58	part_unv_absorb_primary
59	comp_01_common
60	comp_02_uncommon
61	comp_03_rare
62	comp_04_epic
63	comp_05_legendary
64	part_firmware_risky_boots
