index	name
104	part_stat3_wt_sr_statuseffectdamage
105	part_stat3_wt_sr_statuseffectchance
106	part_stat3_wt_sr_splashradius
107	part_stat3_wt_sr_splashdamage
108	part_stat3_wt_sr_reloadspeed
109	part_stat3_wt_sr_magsize
110	part_stat3_wt_sr_firerate
111	part_stat3_wt_sr_equipspeed
112	part_stat3_wt_sr_damage
113	part_stat3_wt_sr_criticaldamage
114	part_stat3_wt_sr_ads_proficiency
115	part_stat3_wt_sr_accuracy
116	part_stat3_wt_sm_statuseffectdamage
117	part_stat3_wt_sm_statuseffectchance
118	part_stat3_wt_sm_splashradius
119	part_stat3_wt_sm_splashdamage
120	part_stat3_wt_sm_reloadspeed
121	part_stat3_wt_sm_magsize
122	part_stat3_wt_sm_firerate
123	part_stat3_wt_sm_equipspeed
124	part_stat3_wt_sm_damage
125	part_stat3_wt_sm_criticaldamage
126	part_stat3_wt_sm_ads_proficiency
127	part_stat3_wt_sm_accuracy
128	part_stat3_wt_sg_statuseffectdamage
129	part_stat3_wt_sg_statuseffectchance
130	part_stat3_wt_sg_splashradius
131	part_stat3_wt_sg_splashdamage
132	part_stat3_wt_sg_reloadspeed
133	part_stat3_wt_sg_magsize
134	part_stat3_wt_sg_firerate
135	part_stat3_wt_sg_equipspeed
136	part_stat3_wt_sg_damage
137	part_stat3_wt_sg_criticaldamage
138	part_stat3_wt_sg_ads_proficiency
139	part_stat3_wt_sg_accuracy
140	part_stat3_wt_ps_statuseffectdamage
141	part_stat3_wt_ps_statuseffectchance
142	part_stat3_wt_ps_splashradius
143	part_stat3_wt_ps_splashdamage
144	part_stat3_wt_ps_reloadspeed
145	part_stat3_wt_ps_magsize
146	part_stat3_wt_ps_firerate
147	part_stat3_wt_ps_equipspeed
148	part_stat3_wt_ps_damage
149	part_stat3_wt_ps_criticaldamage
150	part_stat3_wt_ps_ads_proficiency
151	part_stat3_wt_ps_accuracy
152	part_stat3_wt_ar_statuseffectdamage
153	part_stat3_wt_ar_statuseffectchance
154	part_stat3_wt_ar_splashradius
155	part_stat3_wt_ar_splashdamage
156	part_stat3_wt_ar_reloadspeed
157	part_stat3_wt_ar_magsize
158	part_stat3_wt_ar_firerate
159	part_stat3_wt_ar_equipspeed
160	part_stat3_wt_ar_damage
161	part_stat3_wt_ar_criticaldamage
162	part_stat3_wt_ar_ads_proficiency
163	part_stat3_wt_ar_accuracy
164	part_stat3_weapon_splashradius
165	part_stat3_weapon_splashdamage
166	part_stat3_weapon_reloadspeed
167	part_stat3_weapon_magsize
168	part_stat3_weapon_firerate
169	part_stat3_weapon_equipspeed
170	part_stat3_weapon_damage
171	part_stat3_weapon_criticaldamage
172	part_stat3_weapon_ads_proficiency
173	part_stat3_weapon_accuracy
174	part_stat3_statuseffect_damage
175	part_stat3_statuseffect_chance
