index	name
0	TED_AR.part_barrel_01
1	TED_AR.part_barrel_01_DividedFocus
2	TED_AR.part_barrel_01_LaserDisc
3	TED_AR.part_barrel_01_a
4	TED_AR.part_barrel_01_b
5	TED_AR.part_barrel_01_c
6	TED_AR.part_barrel_01_d
7	TED_AR.part_barrel_01_murder
8	TED_AR.part_barrel_02
9	TED_AR.part_barrel_02_Chuck
10	TED_AR.part_barrel_02_a
11	TED_AR.part_barrel_02_b
12	TED_AR.part_barrel_02_c
13	TED_AR.part_barrel_02_d
14	TED_AR.part_barrel_licensed_hyp
15	TED_AR.part_barrel_licensed_jak
16	TED_AR.part_barrel_licensed_multi
17	TED_AR.part_barrel_licensed_ted_combo
18	TED_AR.part_barrel_licensed_ted_mirv
19	TED_AR.part_barrel_licensed_ted_replicator
20	TED_AR.part_barrel_licensed_ted_replicator_multi
21	TED_AR.part_barrel_licensed_ted_shooting
22	TED_AR.part_body
23	TED_AR.part_body_a
24	TED_AR.part_body_b
25	TED_AR.part_body_c
26	TED_AR.part_body_d
27	TED_AR.part_foregrip_01
28	TED_AR.part_foregrip_02
29	TED_AR.part_foregrip_03
30	TED_AR.part_grip_01
31	TED_AR.part_grip_02
32	TED_AR.part_grip_03
33	TED_AR.part_grip_04_hyp
34	TED_AR.part_grip_05a_ted_legs
35	TED_AR.part_grip_05a_ted_legs_mirv
36	TED_AR.part_grip_05b_ted_jav
37	TED_AR.part_grip_05c_ted_homing
38	TED_AR.part_mag_01
39	TED_AR.part_mag_01_Chuck
40	TED_AR.part_mag_02
41	TED_AR.part_mag_03_tor
42	TED_AR.part_mag_04_cov
43	TED_AR.part_mag_05_borg
44	TED_AR.part_mag_torgue_normal
45	TED_AR.part_mag_torgue_normal_murder4
46	TED_AR.part_mag_torgue_sticky
47	TED_AR.part_mag_torgue_sticky_murderF
48	TED_AR.part_multi_ted_combo
49	TED_AR.part_multi_ted_mirv
50	TED_AR.part_multi_ted_replicator
51	TED_AR.part_multi_ted_shooting
52	TED_AR.part_scope_01_lens_01b
53	TED_AR.part_scope_01_lens_02N
54	TED_AR.part_scope_02_lens_01
55	TED_AR.part_scope_02_lens_02
56	TED_AR.part_scope_acc_S01_L01_a
57	TED_AR.part_scope_acc_S01_L01_b
58	TED_AR.part_scope_acc_S01_L02_a
59	TED_AR.part_scope_acc_S01_L02_b
60	TED_AR.part_scope_acc_S02_L01_a
61	TED_AR.part_scope_acc_S02_L01_b
62	TED_AR.part_scope_acc_S02_L02_a
63	TED_AR.part_scope_acc_S02_L02_b
64	TED_AR.part_scope_ironsight
65	TED_AR.part_secondary_ammo_ps
66	TED_AR.part_secondary_ammo_sg
67	TED_AR.part_secondary_ammo_sm
68	TED_AR.part_secondary_ammo_sr
69	TED_AR.part_shield_ammo
70	TED_AR.part_shield_ampv
71	TED_AR.part_shield_defaultL
72	TED_AR.part_shield_ricochet
73	TED_AR.part_underbarrel_01_buffdrone
74	TED_AR.part_underbarrel_02_comboorb
75	TED_AR.part_underbarrel_03_shotgun
76	TED_AR.part_underbarrel_04_atlas
77	TED_AR.part_underbarrel_04_atlas_ball
78	TED_AR.part_underbarrel_05_ammoswitcher
79	TED_AR.part_underbarrel_06_malswitch
