index	name
0	TED_SG.part_barrel_01
1	TED_SG.part_barrel_01_Eigenburst
2	TED_SG.part_barrel_01_a
3	TED_SG.part_barrel_01_anarchy
4	TED_SG.part_barrel_01_b
5	TED_SG.part_barrel_01_c
6	TED_SG.part_barrel_01_commBD
7	TED_SG.part_barrel_01_d
8	TED_SG.part_barrel_02
9	TED_SG.part_barrel_02_a
10	TED_SG.part_barrel_02_b
11	TED_SG.part_barrel_02_c
12	TED_SG.part_barrel_02_d
13	TED_SG.part_barrel_licensed_hyp
14	TED_SG.part_barrel_licensed_jak
15	TED_SG.part_barrel_licensed_multi
16	TED_SG.part_barrel_licensed_ted_combo
17	TED_SG.part_barrel_licensed_ted_mirv
18	TED_SG.part_barrel_licensed_ted_replicator_multih
19	TED_SG.part_barrel_licensed_ted_replicatorh
20	TED_SG.part_barrel_licensed_ted_shooting
21	TED_SG.part_body
22	TED_SG.part_body_a
23	TED_SG.part_body_b
24	TED_SG.part_body_c
25	TED_SG.part_body_d
26	TED_SG.part_foregrip_01
27	TED_SG.part_foregrip_02
28	TED_SG.part_foregrip_03
29	TED_SG.part_grip_01
30	TED_SG.part_grip_02
31	TED_SG.part_grip_03
32	TED_SG.part_grip_04_hyp
33	TED_SG.part_grip_05a_ted_legs
34	TED_SG.part_grip_05a_ted_legs_mirvx
35	TED_SG.part_grip_05b_ted_homing
36	TED_SG.part_grip_05c_ted_javz
37	TED_SG.part_mag_01
38	TED_SG.part_mag_02
39	TED_SG.part_mag_03_tor
40	TED_SG.part_mag_04_cov6
41	TED_SG.part_mag_05_borg
42	TED_SG.part_mag_torgue_normal
43	TED_SG.part_mag_torgue_sticky
44	TED_SG.part_multi_ted_combo
45	TED_SG.part_multi_ted_mirv
46	TED_SG.part_multi_ted_replicator
47	TED_SG.part_multi_ted_shooting
48	TED_SG.part_scope_01_lens_01
49	TED_SG.part_scope_01_lens_02
50	TED_SG.part_scope_02_lens_01
51	TED_SG.part_scope_02_lens_02
52	TED_SG.part_scope_acc_S01_L01_a
53	TED_SG.part_scope_acc_S01_L01_b
54	TED_SG.part_scope_acc_S01_L02_a
55	TED_SG.part_scope_acc_S01_L02_b
56	TED_SG.part_scope_acc_S02_L01_a
57	TED_SG.part_scope_acc_S02_L01_b
58	TED_SG.part_scope_acc_S02_L02_a
59	TED_SG.part_scope_acc_S02_L02_b
60	TED_SG.part_scope_ironsight
61	TED_SG.part_secondary_ammo_ar
62	TED_SG.part_secondary_ammo_ps
63	TED_SG.part_secondary_ammo_sm
64	TED_SG.part_secondary_ammo_sr
65	TED_SG.part_shield_ammo
66	TED_SG.part_shield_amp
67	TED_SG.part_shield_default
68	TED_SG.part_shield_ricochet
69	TED_SG.part_underbarrel_01_HeavyTurret0
70	TED_SG.part_underbarrel_01_autoturret
71	TED_SG.part_underbarrel_02_stickymine
72	TED_SG.part_underbarrel_03_deployable_shield
73	TED_SG.part_underbarrel_04_atlas
74	TED_SG.part_underbarrel_04_atlas_ball
75	TED_SG.part_underbarrel_05_ammoswitcher
76	TED_SG.part_underbarrel_06_malswitch
