index	name
1	comp_05_legendary_sideshow
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
13	comp_05_legendary
29	part_scope_ironsight
30	part_scope_01_lens_01
31	part_scope_01_lens_02
32	part_scope_02_lens_01
33	part_scope_02_lens_02
34	part_scope_acc_s01_l01_a
35	part_scope_acc_s01_l01_b
36	part_scope_acc_s02_l01_a
37	part_scope_acc_s02_l01_b
38	part_scope_acc_s01_l02_a
39	part_scope_acc_s01_l02_b
40	part_scope_acc_s02_l02_a
41	part_scope_acc_s02_l02_b
56	part_grip_05c_ted_jav_atlien
57	part_grip_05b_ted_homing_atlien
58	part_multi_ted_combo_atlien
59	part_barrel_02_atlien
60	comp_05_legendary_atlien
65	part_barrel_02_rubysgrasp
66	comp_05_legendary_rubysgrasp
67	part_barrel_01_sideshow
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
