index	name
1	comp_05_legendary
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_barrel_licensed_ted_shooting
10	part_barrel_licensed_ted_mirv
11	part_barrel_licensed_ted_combo
12	part_barrel_licensed_ted_replicator
13	part_multi_ted_shooting
14	part_multi_ted_mirv
15	part_multi_ted_combo
16	part_multi_ted_replicator
17	part_shield_default
18	part_shield_ricochet
19	part_shield_ammo
20	part_shield_amp
21	part_mag_05_borg
22	part_mag_04_cov
23	part_mag_01
24	part_mag_02
25	part_mag_03_tor
26	part_mag_torgue_normal
27	part_mag_torgue_sticky
28	part_scope_ironsight
29	part_scope_01_lens_01
30	part_scope_01_lens_02
31	part_scope_02_lens_01
32	part_scope_02_lens_02
33	part_scope_acc_s01_l01_a
34	part_scope_acc_s01_l01_b
35	part_scope_acc_s02_l01_a
36	part_scope_acc_s02_l01_b
37	part_scope_acc_s01_l02_a
38	part_scope_acc_s01_l02_b
39	part_scope_acc_s02_l02_a
40	part_scope_acc_s02_l02_b
41	part_grip_05a_ted_legs
42	part_grip_05c_ted_jav
43	part_grip_05b_ted_homing
44	part_grip_04_hyp
45	part_grip_01
46	part_grip_02
47	part_grip_03
48	part_underbarrel_04_atlas
49	part_underbarrel_04_atlas_ball
50	part_underbarrel_03_deployable_shield
51	part_underbarrel_02_stickymine
52	part_foregrip_01
53	part_foregrip_03
54	part_foregrip_02
55	part_underbarrel_05_ammoswitcher
56	part_underbarrel_06_malswitch
57	part_underbarrel_01_autoturret
58	part_secondary_ammo_sm
59	part_secondary_ammo_ps
60	part_secondary_ammo_ar
61	part_secondary_ammo_sr
62	part_barrel_01_a
63	part_barrel_01_b
64	part_barrel_01_c
65	part_barrel_01_d
66	part_barrel_02_a
67	part_barrel_02_b
68	part_barrel_02_c
69	part_barrel_02_d
70	part_barrel_licensed_jak
71	part_barrel_licensed_hyp
72	part_barrel_licensed_multi
73	part_grip_05a_ted_legs_mirv
74	part_barrel_licensed_ted_replicator_multi
75	part_barrel_01_anarchy
76	comp_05_legendary_anarchy
77	part_barrel_01_commbd
78	comp_05_legendary_commbd
79	part_underbarrel_01_heavyturret
80	comp_05_legendary_heavyturret
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
