index	name
0	TOR_AR.part_barrel_01
1	TOR_AR.part_barrel_01_a
2	TOR_AR.part_barrel_01_b
3	TOR_AR.part_barrel_01_c
4	TOR_AR.part_barrel_01_d
5	TOR_AR.part_barrel_02
6	TOR_AR.part_barrel_02_Bugbear
7	TOR_AR.part_barrel_02_a
8	TOR_AR.part_barrel_02_b
9	TOR_AR.part_barrel_02_c
10	TOR_AR.part_barrel_02_d
11	TOR_AR.part_barrel_PotatoThrower
12	TOR_AR.part_barrel_coldshoulder
13	TOR_AR.part_barrel_fleabag
14	TOR_AR.part_barrel_licensed_hyp
15	TOR_AR.part_barrel_licensed_jak
16	TOR_AR.part_barrel_licensed_ted
17	TOR_AR.part_barrel_licensed_ted_combo
18	TOR_AR.part_barrel_licensed_ted_mirv
19	TOR_AR.part_barrel_licensed_ted_shooting
20	TOR_AR.part_body_a
21	TOR_AR.part_body_b
22	TOR_AR.part_body_c
23	TOR_AR.part_body_d
24	TOR_AR.part_bodyt
25	TOR_AR.part_foregrip_01
26	TOR_AR.part_foregrip_01_PT
27	TOR_AR.part_foregrip_01_fleabag
28	TOR_AR.part_foregrip_02
29	TOR_AR.part_foregrip_02_PT
30	TOR_AR.part_foregrip_02_fleabag
31	TOR_AR.part_foregrip_03
32	TOR_AR.part_foregrip_03_PT
33	TOR_AR.part_foregrip_03_fleabag
34	TOR_AR.part_grip_01
35	TOR_AR.part_grip_02
36	TOR_AR.part_grip_03
37	TOR_AR.part_grip_04_hyp
38	TOR_AR.part_grip_05a_ted_legs
39	TOR_AR.part_grip_05b_ted_homing
40	TOR_AR.part_grip_05c_ted_jav
41	TOR_AR.part_mag_01
42	TOR_AR.part_mag_02
43	TOR_AR.part_mag_04_covn
44	TOR_AR.part_mag_05_borg
45	TOR_AR.part_mag_ted_thrown_01
46	TOR_AR.part_mag_ted_thrown_02
47	TOR_AR.part_mag_ted_thrown_04_cov
48	TOR_AR.part_mag_ted_thrown_05_bor
49	TOR_AR.part_scope_01_lens_01
50	TOR_AR.part_scope_01_lens_02
51	TOR_AR.part_scope_02_lens_010
52	TOR_AR.part_scope_02_lens_02
53	TOR_AR.part_scope_acc_S01_L01_a
54	TOR_AR.part_scope_acc_S01_L01_b
55	TOR_AR.part_scope_acc_S01_L02_a
56	TOR_AR.part_scope_acc_S01_L02_b
57	TOR_AR.part_scope_acc_S02_L01_a
58	TOR_AR.part_scope_acc_S02_L01_b
59	TOR_AR.part_scope_acc_S02_L02_a
60	TOR_AR.part_scope_acc_S02_L02_b
61	TOR_AR.part_scope_ironsight
62	TOR_AR.part_secondary_ammo_ps
63	TOR_AR.part_secondary_ammo_sg
64	TOR_AR.part_secondary_ammo_smg
65	TOR_AR.part_secondary_ammo_sr
66	TOR_AR.part_shield_ammo
67	TOR_AR.part_shield_amp
68	TOR_AR.part_shield_default
69	TOR_AR.part_shield_ricochet
70	TOR_AR.part_underbarrel_01_mirvgrenade
71	TOR_AR.part_underbarrel_02_shotgun
72	TOR_AR.part_underbarrel_03_airstriket
73	TOR_AR.part_underbarrel_04_atlas
74	TOR_AR.part_underbarrel_04_atlas_ball
75	TOR_AR.part_underbarrel_05_ammoswitcher
76	TOR_AR.part_underbarrel_06_malswitch
