index	name
0	TOR_SG.part_barrel_01
1	TOR_SG.part_barrel_01_Linebacker
2	TOR_SG.part_barrel_01_a
3	TOR_SG.part_barrel_01_b
4	TOR_SG.part_barrel_01_c
5	TOR_SG.part_barrel_01_d
6	TOR_SG.part_barrel_02
7	TOR_SG.part_barrel_02_LeadBalloon
8	TOR_SG.part_barrel_02_a
9	TOR_SG.part_barrel_02_arctic
10	TOR_SG.part_barrel_02_b
11	TOR_SG.part_barrel_02_c
12	TOR_SG.part_barrel_02_d
13	TOR_SG.part_barrel_licensed_hyp
14	TOR_SG.part_barrel_licensed_jak
15	TOR_SG.part_barrel_licensed_ted
16	TOR_SG.part_barrel_licensed_ted_combo
17	TOR_SG.part_barrel_licensed_ted_mirv
18	TOR_SG.part_barrel_licensed_ted_shooting
19	TOR_SG.part_body
20	TOR_SG.part_body_aN
21	TOR_SG.part_body_b
22	TOR_SG.part_body_c
23	TOR_SG.part_body_d
24	TOR_SG.part_foregrip_01
25	TOR_SG.part_foregrip_02
26	TOR_SG.part_foregrip_03
27	TOR_SG.part_grip_01
28	TOR_SG.part_grip_02
29	TOR_SG.part_grip_03
30	TOR_SG.part_grip_04_hyp
31	TOR_SG.part_grip_05a_ted_legs
32	TOR_SG.part_grip_05b_ted_homing
33	TOR_SG.part_grip_05c_ted_jav
34	TOR_SG.part_mag_01
35	TOR_SG.part_mag_02P
36	TOR_SG.part_mag_04_cov
37	TOR_SG.part_mag_05_borg
38	TOR_SG.part_mag_ted_thrown_01
39	TOR_SG.part_mag_ted_thrown_02
40	TOR_SG.part_mag_ted_thrown_04_cov
41	TOR_SG.part_mag_ted_thrown_05_bor
42	TOR_SG.part_scope_01_lens_01
43	TOR_SG.part_scope_01_lens_02
44	TOR_SG.part_scope_02_lens_01
45	TOR_SG.part_scope_02_lens_02
46	TOR_SG.part_scope_acc_S01_L01_a
47	TOR_SG.part_scope_acc_S01_L01_b
48	TOR_SG.part_scope_acc_S01_L02_a
49	TOR_SG.part_scope_acc_S01_L02_b
50	TOR_SG.part_scope_acc_S02_L01_a
51	TOR_SG.part_scope_acc_S02_L01_b
52	TOR_SG.part_scope_acc_S02_L02_a
53	TOR_SG.part_scope_acc_S02_L02_b
54	TOR_SG.part_scope_ironsight
55	TOR_SG.part_secondary_ammo_ar
56	TOR_SG.part_secondary_ammo_ps
57	TOR_SG.part_secondary_ammo_smg
58	TOR_SG.part_secondary_ammo_sr
59	TOR_SG.part_shield_ammo
60	TOR_SG.part_shield_ampr
61	TOR_SG.part_shield_default
62	TOR_SG.part_shield_ricochet
63	TOR_SG.part_underbarrel_01_seeker_missiles
64	TOR_SG.part_underbarrel_02_flameblast
65	TOR_SG.part_underbarrel_03_bounce_grenade
66	TOR_SG.part_underbarrel_04_atlas
67	TOR_SG.part_underbarrel_04_atlas_ball
68	TOR_SG.part_underbarrel_05_ammoswitcher
69	TOR_SG.part_underbarrel_06_malswitch
