index	name
2	comp_05_legendary
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_04_cov
16	part_mag_05_borg
17	part_mag_ted_thrown_01
18	part_mag_ted_thrown_02
19	part_mag_ted_thrown_04_cov
20	part_mag_ted_thrown_05_bor
21	part_scope_ironsight
22	part_scope_01_lens_01
23	part_scope_01_lens_02
24	part_scope_02_lens_01
25	part_scope_02_lens_02
26	part_scope_acc_s01_l01_a
27	part_scope_acc_s01_l01_b
28	part_scope_acc_s02_l01_a
29	part_scope_acc_s02_l01_b
30	part_scope_acc_s01_l02_a
31	part_scope_acc_s01_l02_b
32	part_scope_acc_s02_l02_a
33	part_scope_acc_s02_l02_b
34	part_grip_05a_ted_legs
35	part_grip_05c_ted_jav
36	part_grip_05b_ted_homing
37	part_grip_01
38	part_grip_02
39	part_grip_03
40	part_grip_04_hyp
41	part_underbarrel_05_ammoswitcher
42	part_underbarrel_06_malswitch
43	part_underbarrel_01_mirvgrenade
44	part_underbarrel_04_atlas_ball
45	part_underbarrel_03_airstrike
46	part_foregrip_02
47	part_foregrip_03
48	part_secondary_ammo_smg
49	part_secondary_ammo_sg
50	part_secondary_ammo_ps
51	part_secondary_ammo_sr
52	part_body
58	part_barrel_01_a
59	part_barrel_01_b
60	part_barrel_01_c
61	part_barrel_01_d
62	part_barrel_02_a
63	part_barrel_02_b
64	part_barrel_02_c
65	part_barrel_02_d
66	part_barrel_licensed_jak
67	part_barrel_licensed_ted
68	part_barrel_licensed_ted_shooting
69	part_barrel_licensed_ted_mirv
70	part_barrel_licensed_ted_combo
71	part_barrel_licensed_hyp
72	part_underbarrel_02_shotgun
73	part_underbarrel_04_atlas
74	part_foregrip_01
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
