index	name
1	part_barrel_01_dxc
2	part_barrel_01_dxb
3	part_barrel_01_dxa
4	part_barrel_01_cxd
5	part_barrel_01_bxd
6	part_barrel_01_axd
7	part_barrel_01_cxb
8	part_barrel_01_bxc
9	part_barrel_01_axc
10	part_barrel_01_cxa
11	part_barrel_01_bxa
12	part_barrel_01_axb
13	comp_05_legendary
14	part_body
15	part_body_a
16	part_body_b
17	part_body_c
18	part_body_d
19	part_normal
20	part_barrel_01
21	part_barrel_02
22	part_barrel_01_a
23	part_barrel_01_b
24	part_barrel_01_c
25	part_barrel_01_d
26	part_barrel_02_a
27	part_barrel_02_b
28	part_barrel_02_c
29	part_barrel_02_d
30	comp_01_common
31	comp_02_uncommon
32	comp_03_rare
33	comp_04_epic
34	comp_05_legendary_javelin
35	part_barrel_javelin
36	comp_05_legendary_ravenfire
37	part_unique_barrel_01_sidewinder
38	comp_05_legendary_sidewinder
39	comp_02_uncommon_unique_heavyturret
40	part_unique_barrel_02_ravenfire
41	part_barrel_01_ted_sg_heavyturret
