index	name
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_05_borg
14	part_mag_04_cov
15	part_mag_01
16	part_mag_02
17	part_mag_ted_thrown_01
18	part_mag_ted_thrown_02
19	part_mag_ted_thrown_04_cov
20	part_mag_ted_thrown_05_bor
21	part_scope_ironsight
22	part_scope_01_lens_01
23	part_scope_01_lens_02
24	part_scope_02_lens_01
25	part_scope_02_lens_02
26	part_scope_acc_s01_l01_a
27	part_scope_acc_s01_l01_b
28	part_scope_acc_s02_l01_a
29	part_scope_acc_s02_l01_b
30	part_scope_acc_s01_l02_a
31	part_scope_acc_s01_l02_b
32	part_scope_acc_s02_l02_a
33	part_scope_acc_s02_l02_b
34	part_grip_05c_ted_jav
35	part_grip_05b_ted_homing
36	part_grip_05a_ted_legs
37	part_grip_01
38	part_grip_02
39	part_grip_03
40	part_grip_04_hyp
41	part_underbarrel_05_ammoswitcher
42	part_underbarrel_06_malswitch
43	part_underbarrel_01_seeker_missiles
44	part_underbarrel_03_bounce_grenade
45	part_underbarrel_04_atlas
46	part_foregrip_02
47	part_foregrip_03
48	part_foregrip_01
49	part_underbarrel_04_atlas_ball
50	part_underbarrel_02_flameblast
51	part_secondary_ammo_smg
52	part_secondary_ammo_ps
53	part_secondary_ammo_ar
54	part_secondary_ammo_sr
55	comp_05_legendary
61	part_barrel_01_a
62	part_barrel_01_b
63	part_barrel_01_c
64	part_barrel_01_d
65	part_barrel_02_a
66	part_barrel_02_b
67	part_barrel_02_c
68	part_barrel_02_d
69	part_barrel_licensed_jak
70	part_barrel_licensed_ted
71	part_barrel_licensed_ted_shooting
72	part_barrel_licensed_ted_mirv
73	part_barrel_licensed_ted_combo
74	part_barrel_licensed_hyp
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
