index	name
1	part_endgame_gadgetused_damage_turret
2	part_body_01_ground
3	part_body_02_floating
4	part_body_03_maglock
5	part_normal
6	part_corrosive
7	part_cryo
8	part_fire
9	part_radiation
10	part_shock
11	part_sonic
12	part_01_basic_gun
13	part_02_chaingun
14	part_03_longrifle
15	part_04_shotgun
16	part_05_rocketlauncher
17	part_06_beam
18	part_primary_01_cooldown
19	part_primary_02_damage
20	part_primary_03_fire_rate
21	part_primary_04_targeting
22	part_primary_05_elemental_power
23	part_primary_06_duration
24	part_primary_07_accuracy
25	part_primary_08_armor
26	part_primary_09_deployed_detonation
27	part_primary_10_welterweight
28	part_secondary_01_double_turret
29	part_secondary_02_second_weapon_01_basic_gun
30	part_secondary_02_second_weapon_02_chaingun
31	part_secondary_02_second_weapon_03_longbarrel
32	part_secondary_02_second_weapon_04_shotgun
33	part_secondary_02_second_weapon_05_rocket
34	part_secondary_02_second_weapon_06_beam
35	part_secondary_03_mortar
36	part_secondary_04_railgun
37	part_secondary_05_pierce
38	part_secondary_06_critical_chance
39	part_secondary_07_thorns
40	part_secondary_08_two_shot
41	part_secondary_09_kill_streak
42	part_secondary_10_bouncing_grenades
43	part_secondary_11_cooldown
44	part_secondary_12_damage
45	part_secondary_13_fire_rate
46	part_secondary_14_targeting
47	part_secondary_15_elemental_power
48	part_secondary_16_duration
49	part_secondary_17_accuracy
50	part_secondary_19_deployed_detonation
51	part_anointed_movement_speed
52	comp_01_common
53	comp_02_uncommon
54	comp_03_rare
55	comp_04_epic
56	comp_05_legendary
57	part_endgame_none
