index	name
0	VLA_AR.part_barrel_01
1	VLA_AR.part_barrel_01_DualDamage
2	VLA_AR.part_barrel_01_Lucian
3	VLA_AR.part_barrel_01_WomboCombo
4	VLA_AR.part_barrel_01_a
5	VLA_AR.part_barrel_01_b
6	VLA_AR.part_barrel_01_bubbles
7	VLA_AR.part_barrel_01_c
8	VLA_AR.part_barrel_01_d
9	VLA_AR.part_barrel_02
10	VLA_AR.part_barrel_02_a
11	VLA_AR.part_barrel_02_b
12	VLA_AR.part_barrel_02_c
13	VLA_AR.part_barrel_02_d
14	VLA_AR.part_barrel_WF
15	VLA_AR.part_barrel_licensed_hyp
16	VLA_AR.part_barrel_licensed_jak
17	VLA_AR.part_barrel_licensed_ted
18	VLA_AR.part_barrel_licensed_ted_combo
19	VLA_AR.part_barrel_licensed_ted_mirv
20	VLA_AR.part_barrel_licensed_ted_shootingl
21	VLA_AR.part_body_a
22	VLA_AR.part_body_bF
23	VLA_AR.part_body_c
24	VLA_AR.part_body_d
25	VLA_AR.part_bodyp
26	VLA_AR.part_foregrip_01
27	VLA_AR.part_foregrip_02
28	VLA_AR.part_foregrip_03
29	VLA_AR.part_grip_01
30	VLA_AR.part_grip_02
31	VLA_AR.part_grip_03
32	VLA_AR.part_grip_04_hyp
33	VLA_AR.part_grip_05a_ted_legs
34	VLA_AR.part_grip_05b_ted_homing
35	VLA_AR.part_grip_05c_ted_jav
36	VLA_AR.part_mag_01
37	VLA_AR.part_mag_02F
38	VLA_AR.part_mag_03_tort
39	VLA_AR.part_mag_04_cov
40	VLA_AR.part_mag_05_borg
41	VLA_AR.part_mag_ted_thrown_01
42	VLA_AR.part_mag_ted_thrown_02
43	VLA_AR.part_mag_ted_thrown_03_tor
44	VLA_AR.part_mag_ted_thrown_04_cov
45	VLA_AR.part_mag_ted_thrown_05_bor
46	VLA_AR.part_mag_torgue_normal
47	VLA_AR.part_mag_torgue_sticky
48	VLA_AR.part_scope_01_lens_01
49	VLA_AR.part_scope_01_lens_02
50	VLA_AR.part_scope_02_lens_01
51	VLA_AR.part_scope_02_lens_02
52	VLA_AR.part_scope_acc_S01_L01_a
53	VLA_AR.part_scope_acc_S01_L01_b
54	VLA_AR.part_scope_acc_S01_L02_a
55	VLA_AR.part_scope_acc_S01_L02_b
56	VLA_AR.part_scope_acc_S02_L01_a
57	VLA_AR.part_scope_acc_S02_L01_b
58	VLA_AR.part_scope_acc_S02_L02_a
59	VLA_AR.part_scope_acc_S02_L02_b
60	VLA_AR.part_scope_ironsight
61	VLA_AR.part_secondary_ammo_ps
62	VLA_AR.part_secondary_ammo_sg
63	VLA_AR.part_secondary_ammo_sm
64	VLA_AR.part_secondary_ammo_sr
65	VLA_AR.part_shield_ammo
66	VLA_AR.part_shield_amp
67	VLA_AR.part_shield_default0
68	VLA_AR.part_shield_ricochet
69	VLA_AR.part_underbarrel_01_grenadelauncher
70	VLA_AR.part_underbarrel_02_WF_scrapcannon
71	VLA_AR.part_underbarrel_02_shotgun
72	VLA_AR.part_underbarrel_03_bipod
73	VLA_AR.part_underbarrel_04_atlas
74	VLA_AR.part_underbarrel_04_atlas_ball
75	VLA_AR.part_underbarrel_05_ammoswitcher
76	VLA_AR.part_underbarrel_06_malswitch
77	VLA_AR.part_underbarrel_07_DualDamage
78	VLA_AR.part_underbarrel_07_acc_vis
79	VLA_AR.part_underbarrel_07_b
80	VLA_AR.part_underbarrel_07_secondbarrel
81	VLA_AR.part_underbarrel_Overdrive_acc
82	VLA_AR.part_underbarrel_Scrap_acc
83	VLA_AR.part_underbarrel_WF_Overdrive
84	VLA_AR.part_underbarrel_bipod_acc
85	VLA_AR.part_underbarrel_grenade_acc
86	VLA_AR.part_underbarrel_secondbarrel_acc_A
87	VLA_AR.part_underbarrel_secondbarrel_acc_B
88	VLA_AR.part_underbarrel_secondbarrel_acc_C
89	VLA_AR.part_underbarrel_shotgun_acc
