index	name
0	VLA_SM.part_barrel_01
1	VLA_SM.part_barrel_01_Kaoson
2	VLA_SM.part_barrel_01_Onslaught
3	VLA_SM.part_barrel_01_a
4	VLA_SM.part_barrel_01_b
5	VLA_SM.part_barrel_01_c
6	VLA_SM.part_barrel_01_d
7	VLA_SM.part_barrel_02
8	VLA_SM.part_barrel_02_a
9	VLA_SM.part_barrel_02_b
10	VLA_SM.part_barrel_02_c
11	VLA_SM.part_barrel_02_c_d
12	VLA_SM.part_barrel_02_d
13	VLA_SM.part_barrel_02_d_c
14	VLA_SM.part_barrel_BeeGUn
15	VLA_SM.part_barrel_licensed_hyp
16	VLA_SM.part_barrel_licensed_jak
17	VLA_SM.part_barrel_licensed_ted
18	VLA_SM.part_barrel_licensed_ted_combo
19	VLA_SM.part_barrel_licensed_ted_mirv
20	VLA_SM.part_barrel_licensed_ted_shooting
21	VLA_SM.part_barrel_mercury
22	VLA_SM.part_body
23	VLA_SM.part_body_a
24	VLA_SM.part_body_bF
25	VLA_SM.part_body_c
26	VLA_SM.part_body_d
27	VLA_SM.part_body_flap
28	VLA_SM.part_foregrip_01
29	VLA_SM.part_foregrip_02
30	VLA_SM.part_foregrip_03
31	VLA_SM.part_grip_01
32	VLA_SM.part_grip_02
33	VLA_SM.part_grip_03
34	VLA_SM.part_grip_04_hyp
35	VLA_SM.part_grip_05a_ted_legs
36	VLA_SM.part_grip_05b_ted_homing
37	VLA_SM.part_grip_05c_ted_javd
38	VLA_SM.part_mag_01
39	VLA_SM.part_mag_02
40	VLA_SM.part_mag_03_torD
41	VLA_SM.part_mag_04_covX
42	VLA_SM.part_mag_05_borg
43	VLA_SM.part_mag_ted_thrown_01
44	VLA_SM.part_mag_ted_thrown_02
45	VLA_SM.part_mag_ted_thrown_03_tor
46	VLA_SM.part_mag_ted_thrown_04_cov
47	VLA_SM.part_mag_ted_thrown_05_bor
48	VLA_SM.part_mag_torgue_normal
49	VLA_SM.part_mag_torgue_normal_BeeGun
50	VLA_SM.part_mag_torgue_normal_mercury
51	VLA_SM.part_mag_torgue_sticky
52	VLA_SM.part_mag_torgue_sticky_BeeGun
53	VLA_SM.part_mag_torgue_sticky_mercury
54	VLA_SM.part_scope_01_lens_01
55	VLA_SM.part_scope_01_lens_02L
56	VLA_SM.part_scope_02_lens_01
57	VLA_SM.part_scope_02_lens_02
58	VLA_SM.part_scope_acc_S01_L01_a
59	VLA_SM.part_scope_acc_S01_L01_b
60	VLA_SM.part_scope_acc_S01_L02_a
61	VLA_SM.part_scope_acc_S01_L02_b
62	VLA_SM.part_scope_acc_S02_L01_a
63	VLA_SM.part_scope_acc_S02_L01_b
64	VLA_SM.part_scope_acc_S02_L02_a
65	VLA_SM.part_scope_acc_S02_L02_b
66	VLA_SM.part_scope_ironsight
67	VLA_SM.part_secondary_ammo_ar
68	VLA_SM.part_secondary_ammo_ps
69	VLA_SM.part_secondary_ammo_sg
70	VLA_SM.part_secondary_ammo_sr
71	VLA_SM.part_shield_ammo
72	VLA_SM.part_shield_amp
73	VLA_SM.part_shield_defaultH
74	VLA_SM.part_shield_ricochet
75	VLA_SM.part_underbarrel_01_microrockets
76	VLA_SM.part_underbarrel_02_taser
77	VLA_SM.part_underbarrel_03_flamethrower
78	VLA_SM.part_underbarrel_04_atlas
79	VLA_SM.part_underbarrel_04_atlas_ball
80	VLA_SM.part_underbarrel_05_ammoswitcher
81	VLA_SM.part_underbarrel_06_malswitch
82	VLA_SM.part_underbarrel_07_secondbarrel
83	VLA_SM.part_underbarrel_flamethrower_acc
84	VLA_SM.part_underbarrel_microrockets_acc
85	VLA_SM.part_underbarrel_secondbarrel_acc
86	VLA_SM.part_underbarrel_taser_acc
