index	name
0	VLA_SR.part_barrel_01
1	VLA_SR.part_barrel_01_StopGap
2	VLA_SR.part_barrel_01_a
3	VLA_SR.part_barrel_01_b
4	VLA_SR.part_barrel_01_c
5	VLA_SR.part_barrel_01_d
6	VLA_SR.part_barrel_02
7	VLA_SR.part_barrel_02_Finnty
8	VLA_SR.part_barrel_02_a
9	VLA_SR.part_barrel_02_b
10	VLA_SR.part_barrel_02_c
11	VLA_SR.part_barrel_02_d
12	VLA_SR.part_barrel_CrowdSourced
13	VLA_SR.part_barrel_licensed_hyp
14	VLA_SR.part_barrel_licensed_jak
15	VLA_SR.part_barrel_licensed_ted
16	VLA_SR.part_barrel_licensed_ted_combo
17	VLA_SR.part_barrel_licensed_ted_mirv
18	VLA_SR.part_barrel_licensed_ted_shooting
19	VLA_SR.part_body
20	VLA_SR.part_body_a
21	VLA_SR.part_body_b
22	VLA_SR.part_body_c
23	VLA_SR.part_body_d2
24	VLA_SR.part_foregrip_01
25	VLA_SR.part_foregrip_02
26	VLA_SR.part_foregrip_03
27	VLA_SR.part_grip_01
28	VLA_SR.part_grip_02
29	VLA_SR.part_grip_03
30	VLA_SR.part_grip_04_hyp
31	VLA_SR.part_grip_04_hyp_Finntyl
32	VLA_SR.part_grip_05a_ted_legs
33	VLA_SR.part_grip_05b_ted_homing
34	VLA_SR.part_grip_05c_ted_jav
35	VLA_SR.part_mag_01
36	VLA_SR.part_mag_02
37	VLA_SR.part_mag_03_tor
38	VLA_SR.part_mag_04_cov
39	VLA_SR.part_mag_05_borg
40	VLA_SR.part_mag_ted_thrown_01
41	VLA_SR.part_mag_ted_thrown_02
42	VLA_SR.part_mag_ted_thrown_03_tor
43	VLA_SR.part_mag_ted_thrown_04_cov
44	VLA_SR.part_mag_ted_thrown_05_bor
45	VLA_SR.part_mag_torgue_normal
46	VLA_SR.part_mag_torgue_sticky
47	VLA_SR.part_scope_01_lens_01
48	VLA_SR.part_scope_01_lens_02
49	VLA_SR.part_scope_02_lens_01
50	VLA_SR.part_scope_02_lens_02h
51	VLA_SR.part_scope_acc_S01_L01_a
52	VLA_SR.part_scope_acc_S01_L01_b
53	VLA_SR.part_scope_acc_S01_L02_a
54	VLA_SR.part_scope_acc_S01_L02_b
55	VLA_SR.part_scope_acc_S02_L01_a
56	VLA_SR.part_scope_acc_S02_L01_b
57	VLA_SR.part_scope_acc_S02_L02_a
58	VLA_SR.part_scope_acc_S02_L02_b
59	VLA_SR.part_scope_ironsight
60	VLA_SR.part_secondary_ammo_ar
61	VLA_SR.part_secondary_ammo_ps
62	VLA_SR.part_secondary_ammo_sg
63	VLA_SR.part_secondary_ammo_smg
64	VLA_SR.part_shield_ammo
65	VLA_SR.part_shield_amp
66	VLA_SR.part_shield_default
67	VLA_SR.part_shield_ricochet
68	VLA_SR.part_underbarrel_01_shotgun
69	VLA_SR.part_underbarrel_02_rocket
70	VLA_SR.part_underbarrel_03_bipodh
71	VLA_SR.part_underbarrel_04_atlas
72	VLA_SR.part_underbarrel_04_atlas_ball
73	VLA_SR.part_underbarrel_05_ammoswitcher
74	VLA_SR.part_underbarrel_06_malswitchH
75	VLA_SR.part_underbarrel_07_secondbarrel
76	VLA_SR.part_underbarrel_bipod_acc
77	VLA_SR.part_underbarrel_rocket_acch
78	VLA_SR.part_underbarrel_secondbarrel_acc_A
79	VLA_SR.part_underbarrel_secondbarrel_acc_B
80	VLA_SR.part_underbarrel_secondbarrel_acc_C
81	VLA_SR.part_underbarrel_shotgun_acc
0	bor_sr.part_barrel_01
1	bor_sr.part_barrel_01_Stray
2	bor_sr.part_barrel_01_a
3	bor_sr.part_barrel_01_b
4	bor_sr.part_barrel_01_c
5	bor_sr.part_barrel_01_d
6	bor_sr.part_barrel_01_tankbuster
7	bor_sr.part_barrel_02
8	bor_sr.part_barrel_02_Vamoose
9	bor_sr.part_barrel_02_a
10	bor_sr.part_barrel_02_b
11	bor_sr.part_barrel_02_c
12	bor_sr.part_barrel_02_d
13	bor_sr.part_barrel_02_rainmaker
14	bor_sr.part_barrel_licensed_hyp
15	bor_sr.part_barrel_licensed_jak
16	bor_sr.part_barrel_licensed_ted
17	bor_sr.part_barrel_licensed_ted_combo
18	bor_sr.part_barrel_licensed_ted_mirv
19	bor_sr.part_barrel_licensed_ted_shooting
20	bor_sr.part_body
21	bor_sr.part_body_a
22	bor_sr.part_body_b
23	bor_sr.part_body_c
24	bor_sr.part_body_d
25	bor_sr.part_foregrip_01
26	bor_sr.part_foregrip_02
27	bor_sr.part_foregrip_03
28	bor_sr.part_grip_01
29	bor_sr.part_grip_02
30	bor_sr.part_grip_03
31	bor_sr.part_grip_04_hyp
32	bor_sr.part_grip_05a_ted_legs
33	bor_sr.part_grip_05b_ted_homing
34	bor_sr.part_grip_05c_ted_javt
35	bor_sr.part_mag_01
36	bor_sr.part_mag_02
37	bor_sr.part_mag_03_tor
38	bor_sr.part_mag_04_cov
39	bor_sr.part_mag_ted_thrown_01
40	bor_sr.part_mag_ted_thrown_02
41	bor_sr.part_mag_ted_thrown_03_tor
42	bor_sr.part_mag_ted_thrown_04_cov
43	bor_sr.part_mag_torgue_normal
44	bor_sr.part_mag_torgue_sticky
45	bor_sr.part_scope_01_lens_01p
46	bor_sr.part_scope_01_lens_02
47	bor_sr.part_scope_02_lens_01
48	bor_sr.part_scope_02_lens_02
49	bor_sr.part_scope_acc_S01_L01_a
