index	name
1	part_barrel_01_lucian
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_03_tor
16	part_mag_04_cov
17	part_mag_05_borg
18	part_mag_torgue_normal
19	part_mag_torgue_sticky
20	part_mag_ted_thrown_01
21	part_mag_ted_thrown_02
22	part_mag_ted_thrown_03_tor
23	part_mag_ted_thrown_04_cov
24	part_mag_ted_thrown_05_bor
25	part_scope_ironsight
26	part_scope_01_lens_01
27	part_scope_01_lens_02
28	part_scope_02_lens_01
29	part_scope_02_lens_02
30	part_scope_acc_s01_l01_a
31	part_scope_acc_s01_l01_b
32	part_scope_acc_s02_l01_a
33	part_scope_acc_s02_l01_b
34	part_scope_acc_s01_l02_a
35	part_scope_acc_s01_l02_b
36	part_scope_acc_s02_l02_a
37	part_scope_acc_s02_l02_b
38	part_grip_05a_ted_legs
39	part_grip_05c_ted_jav
40	part_grip_05b_ted_homing
41	part_grip_01
42	part_grip_02
43	part_grip_03
44	part_grip_04_hyp
45	part_underbarrel_05_ammoswitcher
46	part_underbarrel_04_atlas_ball
47	part_underbarrel_04_atlas
48	part_underbarrel_03_bipod
49	part_underbarrel_01_grenadelauncher
50	part_underbarrel_grenade_acc
51	part_underbarrel_shotgun_acc
52	part_underbarrel_bipod_acc
53	part_underbarrel_secondbarrel_acc_a
54	part_underbarrel_secondbarrel_acc_b
55	part_underbarrel_secondbarrel_acc_c
56	part_foregrip_01
57	part_foregrip_02
58	part_foregrip_03
59	part_secondary_ammo_ps
60	part_secondary_ammo_sg
61	part_secondary_ammo_sm
62	part_secondary_ammo_sr
63	comp_05_legendary_lucian
64	part_barrel_01_wombocombo
65	comp_05_legendary_wombocombo
66	part_underbarrel_07_acc_vis
67	part_underbarrel_07_b
68	comp_05_legendary
69	part_underbarrel_07_dualdamage
70	part_barrel_01_dualdamage
71	part_barrel_licensed_ted_combo
72	part_barrel_01_a
73	part_barrel_01_b
74	part_barrel_01_c
75	part_barrel_01_d
76	part_barrel_02_a
77	part_barrel_02_b
78	part_barrel_02_c
79	part_barrel_02_d
80	part_barrel_licensed_jak
81	part_barrel_licensed_ted
82	part_barrel_licensed_ted_shooting
83	part_barrel_licensed_ted_mirv
84	part_barrel_licensed_hyp
85	part_underbarrel_06_malswitch
86	part_underbarrel_07_secondbarrel
87	part_underbarrel_02_shotgun
88	comp_05_legendary_dualdamage
89	part_underbarrel_overdrive_acc
90	part_underbarrel_wf_overdrive
91	part_underbarrel_scrap_acc
92	part_underbarrel_02_wf_scrapcannon
93	comp_05_legendary_wf
94	part_barrel_wf
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
