index	name
1	comp_05_legendary_splatoon
2	part_barrel_02_splatoon
3	comp_05_legendary
4	part_barrel_02_ad
5	part_barrel_02_ac
6	part_body
7	part_body_a
8	part_body_b
9	part_body_c
10	part_body_d
11	part_normal
12	part_barrel_02
13	part_barrel_01_a
14	part_barrel_01_b
15	part_barrel_01_c
16	part_barrel_01_d
17	part_barrel_02_a
18	part_barrel_02_b
19	part_barrel_02_c
20	part_barrel_02_d
21	comp_01_common
22	comp_02_uncommon
23	comp_03_rare
24	comp_04_epic
25	part_unique_barrel_01_atlinggun
26	comp_05_legendary_atlinggun
27	part_barrel_01_cxd
28	part_barrel_01_dxc
29	part_barrel_01
