index	name
2	part_body
3	part_body_a
4	part_body_b
5	part_body_c
6	part_body_d
7	part_barrel_01
8	part_barrel_02
9	part_shield_default
10	part_shield_ricochet
11	part_shield_ammo
12	part_shield_amp
13	part_mag_01
14	part_mag_02
15	part_mag_03_tor
16	part_mag_04_cov
17	part_mag_05_borg
18	part_mag_torgue_normal
19	part_mag_torgue_sticky
20	part_mag_ted_thrown_01
21	part_mag_ted_thrown_02
22	part_mag_ted_thrown_03_tor
23	part_mag_ted_thrown_04_cov
24	part_mag_ted_thrown_05_bor
25	part_body_flap
26	part_scope_ironsight
27	part_scope_01_lens_01
28	part_scope_01_lens_02
29	part_scope_02_lens_01
30	part_scope_02_lens_02
31	part_scope_acc_s01_l01_a
32	part_scope_acc_s01_l01_b
33	part_scope_acc_s02_l01_a
34	part_scope_acc_s02_l01_b
35	part_scope_acc_s01_l02_a
36	part_scope_acc_s01_l02_b
37	part_scope_acc_s02_l02_a
38	part_scope_acc_s02_l02_b
39	comp_05_legendary
40	part_grip_05c_ted_jav
41	part_grip_05b_ted_homing
42	part_grip_05a_ted_legs
43	part_grip_04_hyp
44	part_grip_01
45	part_grip_02
46	part_grip_03
47	part_underbarrel_05_ammoswitcher
48	part_underbarrel_04_atlas_ball
49	part_underbarrel_06_malswitch
50	part_underbarrel_01_microrockets
51	part_underbarrel_02_taser
52	part_underbarrel_03_flamethrower
53	part_underbarrel_07_secondbarrel
54	part_underbarrel_04_atlas
55	part_underbarrel_microrockets_acc
56	part_underbarrel_taser_acc
57	part_underbarrel_flamethrower_acc
58	part_underbarrel_secondbarrel_acc
59	part_foregrip_01
60	part_foregrip_02
61	part_foregrip_03
62	part_secondary_ammo_ps
63	part_secondary_ammo_sg
64	part_secondary_ammo_ar
65	part_secondary_ammo_sr
69	part_barrel_02_d_c
70	part_barrel_02_c_d
72	part_barrel_01_a
73	part_barrel_01_b
74	part_barrel_01_c
75	part_barrel_01_d
76	part_barrel_02_a
77	part_barrel_02_b
78	part_barrel_02_c
79	part_barrel_02_d
80	part_barrel_licensed_jak
81	part_barrel_licensed_ted
82	part_barrel_licensed_ted_shooting
83	part_barrel_licensed_ted_mirv
84	part_barrel_licensed_ted_combo
85	part_barrel_licensed_hyp
95	comp_01_common
96	comp_02_uncommon
97	comp_03_rare
98	comp_04_epic
