index	name
1	base_comp_02_uncommon
2	base_comp_03_rare
3	base_comp_04_epic
4	base_comp_05_legendary
5	part_secondary_elem_shock_radiation_mal
6	part_secondary_elem_shock_fire_mal
7	part_secondary_elem_shock_cryo_mal
8	part_secondary_elem_shock_corrosive_mal
9	part_secondary_elem_radiation_shock_mal
10	part_corrosive
11	part_cryo
12	part_fire
13	part_radiation
14	part_shock
15	part_secondary_elem_radiation_fire_mal
16	part_secondary_elem_radiation_cryo_mal
17	part_secondary_elem_radiation_corrosive_mal
18	part_secondary_elem_fire_radiation_mal
19	part_secondary_elem_fire_cryo_mal
20	part_secondary_elem_fire_corrosive_mal
21	part_secondary_elem_cryo_shock_mal
22	part_secondary_elem_cryo_radiation_mal
23	part_secondary_elem_cryo_fire_mal
24	part_secondary_elem_cryo_corrosive_mal
25	part_secondary_elem_corrosive_shock_mal
26	part_secondary_elem_corrosive_radiation_mal
27	part_secondary_elem_corrosive_fire_mal
28	part_secondary_elem_corrosive_cryo_mal
29	part_secondary_elem_shock_radiation
30	part_secondary_elem_fire_radiation
31	part_secondary_elem_cryo_radiation
32	part_secondary_elem_corrosive_radiation
33	part_secondary_elem_radiation_corrosive
34	part_secondary_elem_shock_corrosive
35	part_secondary_elem_fire_corrosive
36	part_secondary_elem_cryo_corrosive
37	part_secondary_elem_radiation_cryo
38	part_secondary_elem_shock_cryo
39	part_secondary_elem_fire_cryo
40	part_secondary_elem_corrosive_cryo
41	part_secondary_elem_radiation_fire
42	part_secondary_elem_cryo_fire
43	part_secondary_elem_shock_fire
44	part_secondary_elem_corrosive_fire
45	part_secondary_elem_radiation_shock
46	part_secondary_elem_cryo_shock
47	part_secondary_elem_corrosive_shock
48	part_secondary_elem_fire_shock_mal
49	part_secondary_elem_fire_shock
50	base_comp_01_common
