category	position	tooltip_key	tree_color	tree_name
254	blue_1_1	ToolTip_DS_P_SanguineBrood	blue	The Fourth Seal
254	blue_1_2	ToolTip_DS_P_DeadHands	blue	The Fourth Seal
254	blue_1_3	ToolTip_DS_P_SpectralWeapons	blue	The Fourth Seal
254	blue_1_5	ToolTip_DS_P_DemonicInscriptions	blue	The Fourth Seal
254	blue_2_1	ToolTip_DS_P_BanefulWeaponry	blue	The Fourth Seal
254	blue_2_3	ToolTip_DS_P_GrimSuffering	blue	The Fourth Seal
254	blue_2_5	ToolTip_DS_P_Curse	blue	The Fourth Seal
254	blue_3_1	ToolTip_DS_P_BloodSacrifice	blue	The Fourth Seal
254	blue_3_2	ToolTip_DS_P_GraveFiends	blue	The Fourth Seal
254	blue_3_4	ToolTip_DS_P_GraveQuickening	blue	The Fourth Seal
254	blue_3_5	ToolTip_DS_P_ExtraCursed	blue	The Fourth Seal
254	blue_left_4_1	ToolTip_DS_P_CorrodingAttunement	blue	The Fourth Seal
254	blue_left_4_3	ToolTip_DS_P_PrismaticPoisons	blue	The Fourth Seal
254	blue_left_5_1	ToolTip_DS_P_CriticalSuffering	blue	The Fourth Seal
254	blue_left_5_2	ToolTip_DS_P_Assassin	blue	The Fourth Seal
254	blue_left_5_3	ToolTip_DS_P_HotSwap	blue	The Fourth Seal
254	blue_left_6_1	ToolTip_DS_P_CorrodingInfluence	blue	The Fourth Seal
254	blue_left_6_2	Tooltip_DarkSiren_ActionSkill_PhaseShard_Capstone_SpectralArmory	blue	The Fourth Seal
254	blue_mid_4_1	ToolTip_DS_P_FireyAttunement	blue	The Fourth Seal
254	blue_mid_4_3	ToolTip_DS_P_Tameshigiri	blue	The Fourth Seal
254	blue_mid_5_1	ToolTip_DS_P_Reverberations	blue	The Fourth Seal
254	blue_mid_5_3	tooltip_ds_p_phasedagger	blue	The Fourth Seal
254	blue_mid_6_1	ToolTip_DS_P_FieryInfluence	blue	The Fourth Seal
254	blue_mid_6_2	Tooltip_DarkSiren_ActionSkill_PhaseShard_Capstone_GrimReaper	blue	The Fourth Seal
254	blue_mid_6_3	ToolTip_DS_P_Volley	blue	The Fourth Seal
254	blue_right_4_1	ToolTip_DS_P_CorrodingArmaments	blue	The Fourth Seal
